-2.4	-0.113882	0.623512
-2.376	-0.112672	0.6083
-2.352	-0.111094	0.593041
-2.328	-0.10915	0.577742
-2.304	-0.10684	0.562413
-2.28	-0.104167	0.547063
-2.256	-0.101131	0.531699
-2.232	-0.0977351	0.516332
-2.208	-0.0939801	0.50097
-2.184	-0.0898686	0.485622
-2.16	-0.085403	0.470296
-2.136	-0.0805857	0.455002
-2.112	-0.0754197	0.439748
-2.088	-0.0699078	0.424544
-2.064	-0.0640533	0.409397
-2.04	-0.0578595	0.394317
-2.016	-0.05133	0.379312
-1.992	-0.0444686	0.364391
-1.968	-0.0372792	0.349562
-1.944	-0.0297658	0.334835
-1.92	-0.021933	0.320217
-1.896	-0.0137852	0.305717
-1.872	-0.00532699	0.291343
-1.848	0.00343664	0.277104
-1.824	0.0125007	0.263007
-1.8	0.0218599	0.249062
-1.776	0.0315089	0.235275
-1.752	0.0414422	0.221656
-1.728	0.0516539	0.208211
-1.704	0.0621383	0.194948
-1.68	0.0728893	0.181876
-1.656	0.0839007	0.169001
-1.632	0.0951662	0.156332
-1.608	0.106679	0.143874
-1.584	0.118433	0.131637
-1.56	0.119625	0.130421
-1.536	0.107847	0.142637
-1.512	0.09631	0.155072
-1.488	0.0850194	0.167721
-1.464	0.0739822	0.180576
-1.44	0.0632048	0.193629
-1.416	0.0526934	0.206872
-1.392	0.042454	0.220299
-1.368	0.0324926	0.233902
-1.344	0.0228148	0.247672
-1.32	0.0134262	0.261602
-1.296	0.00433235	0.275683
-1.272	-0.00446164	0.289908
-1.248	-0.0129507	0.304269
-1.224	-0.0211299	0.318757
-1.2	-0.0289945	0.333363
-1.176	-0.0365401	0.34808
-1.152	-0.0437622	0.362899
-1.128	-0.0506567	0.377811
-1.104	-0.0572197	0.392808
-1.08	-0.0634473	0.407881
-1.056	-0.069336	0.423022
-1.032	-0.0748824	0.438221
-1.008	-0.0800832	0.45347
-0.984	-0.0849356	0.468761
-0.96	-0.0894366	0.484083
-0.936	-0.0935838	0.49943
-0.912	-0.0973746	0.514791
-0.888	-0.100807	0.530158
-0.864	-0.103879	0.545522
-0.84	-0.106589	0.560874
-0.816	-0.108935	0.576206
-0.792	-0.110915	0.591508
-0.768	-0.11253	0.606772
-0.744	-0.113777	0.621988
-0.72	-0.114657	0.637149
-0.696	-0.115168	0.652245
-0.672	-0.11531	0.667268
-0.648	-0.115084	0.682209
-0.624	-0.114488	0.697059
-0.6	-0.113525	0.711811
-0.576	-0.112194	0.726455
-0.552	-0.110495	0.740982
-0.528	-0.108431	0.755386
-0.504	-0.106002	0.769656
-0.48	-0.103209	0.783786
-0.456	-0.100055	0.797766
-0.432	-0.0965403	0.81159
-0.408	-0.0926678	0.825248
-0.384	-0.0884396	0.838734
-0.36	-0.0838581	0.852039
-0.336	-0.0789259	0.865155
-0.312	-0.0736459	0.878076
-0.288	-0.068021	0.890793
-0.264	-0.0620546	0.903299
-0.24	-0.05575	0.915588
-0.216	-0.049111	0.927652
-0.192	-0.0421413	0.939483
-0.168	-0.0348449	0.951076
-0.144	-0.0272261	0.962424
-0.12	-0.0192892	0.973519
-0.096	-0.0110388	0.984357
-0.072	-0.00247968	0.994929
-0.048	0.00638326	1.00523
-0.024	0.0155449	1.01526
0	0.025	1.025
0.024	0.0347431	1.03446
0.048	0.0447685	1.04362
0.072	0.0550706	1.05248
0.096	0.0656433	1.06104
0.12	0.0764806	1.06929
0.144	0.0875762	1.07723
0.168	0.0989238	1.08484
0.192	0.110517	1.09214
0.216	0.122348	1.09911
0.24	0.134412	1.10575
0.264	0.146701	1.11205
0.288	0.159207	1.11802
0.312	0.171924	1.12365
0.336	0.184845	1.12893
0.36	0.197961	1.13386
0.384	0.211266	1.13844
0.408	0.224752	1.14267
0.432	0.23841	1.14654
0.456	0.252234	1.15005
